Name Category,Name Store,Name Product,Name Brand,Image URL,Description,Price,Product URL
Laptop,Cellphones,Laptop Asus Gaming Rog Strix G15 G513IH HN015W,ASUS,,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",18.590.000 ₫,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g15-g513ih-hn015w.html
Laptop,Cellphones,Laptop MSI Modern 14 B11MOU-1065VN,MSI,,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14.790.000 ₫,https://cellphones.com.vn/laptop-msi-modern-14-b11mou-1065vn.html
Laptop,Cellphones,Laptop Acer Aspire 3 A315-56-38B1 NX.HS5SV.00G,Acer,,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",7.990.000 ₫,https://cellphones.com.vn/laptop-acer-aspire-3-a315-56-38b1.html
Laptop,Cellphones,Laptop MSI Gaming GF63 Thin 11UD 473VN,MSI,,"Mới, đầy đủ phụ kiện từ nhà sản xuất",17.890.000 ₫,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-11ud-473vn.html
Laptop,Cellphones,Laptop Lenovo Ideapad 5 Pro 14ITL6 82L300MAVN,Lenovo,,"Mới, đầy đủ phụ kiện từ nhà sản xuất",20.490.000 ₫,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14itl6-82l300mavn.html
Laptop,Cellphones,Laptop Lenovo Ideapad 3 15IAU7 82RK001GVN,Lenovo,,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",11.890.000 ₫,https://cellphones.com.vn/laptop-lenovo-ideapad-3-15iau7-82rk001gvn.html
Laptop,Cellphones,Laptop Acer Aspire 3 A315-58-53S6 NX.AM0SV.005,Acer,,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",11.990.000 ₫,https://cellphones.com.vn/laptop-acer-aspire-3-a315-58-53s6.html
Laptop,Cellphones,Laptop Lenovo Ideapad Gaming 3 15IHU6 82K101HGVN,Lenovo,,"Mới, đầy đủ phụ kiện từ nhà sản xuất",18.990.000 ₫,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15ihu6-82k101hgvn.html
Laptop,Cellphones,Laptop HP Pavilion 15-EG2037TX 6K783PA,HP,,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14.990.000 ₫,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2037tx-6k783pa.html
Laptop,Cellphones,Laptop HP 245 G9 6L1N8PA,Laptop 14 inch,,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",11.990.000 ₫,https://cellphones.com.vn/laptop-hp-245-g9-6l1n8pa.html
